Country Name,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Germany,DEU,2011,YR2011,100,100,100,100,3.77303671283679,123773,20.3832827208232,935657,11.3943559060623,607228,8211583.065456
Germany,DEU,2012,YR2012,100,100,100,100,3.77181071456031,143458,23.0004585405584,997310,12.0151357257952,623718,8300447.225568
Germany,DEU,2013,YR2013,100,100,100,100,3.83175597713428,152366,24.0725497476084,1030489,12.0890787546162,632945,8524131.746652
Germany,DEU,2014,YR2014,100,100,100,100,3.64039942390138,162513,26.1300965691114,1087820,13.3788782316752,621938,8130876.005916
Germany,DEU,2015,YR2015,100,100,100,100,3.6030941551038,187366,29.2317701223308,1183042,14.2062526977772,640967,8327614.784616
Germany,DEU,2016,YR2016,100,100,100,100,..,..,..,..,..,..,..
Mozambique,MOZ,1997,YR1997,..,2.1,6.6,25.8,33.355855356596,977,97.2139303482587,202536.1,92.6444425666398,1005,218616.567156
Mozambique,MOZ,1998,YR1998,..,..,4.54894590377808,18.5524063110352,30.115599701631,6837,99.6066433566434,243640.6,94.0055670074203,6864,259176.778308
Mozambique,MOZ,1999,YR1999,..,..,5.63347864151001,21.0585079193115,28.4813875423696,7686,99.6887159533074,248433.3,94.1665540561761,7710,263823.288948
Mozambique,MOZ,2000,YR2000,3.07,..,6.69505882263184,23.5570030212402,29.5953833564576,9652,99.546204620462,255345.6,93.6075644295867,9696,272783.082816
Mozambique,MOZ,2001,YR2001,3.08000000000001,0.4,5.7,20.1,27.6243988701522,11841,99.6297854438368,268698.3,93.9515224326227,11885,285996.74922
Mozambique,MOZ,2002,YR2002,3.13,0.512979267856058,8.76905345916748,28.5405254364014,25.7230469024547,12674,99.7010698552549,273892.2,93.7287368021139,12712,292217.957208
Mozambique,MOZ,2003,YR2003,3.09,1.1,8.1,25,25.4713316724251,10870,99.6607683139268,286395.1,92.7518498008216,10907,308775.620772
Mozambique,MOZ,2004,YR2004,3.11,1.17048507216784,10.8179121017456,33.5248603820801,24.5405830318751,11668,99.6073074953048,298065.2,92.9158736642969,11714,320790.396996
Mozambique,MOZ,2005,YR2005,3.21,1.48729617007341,11.8480739593506,36.0243721008301,22.8796197252375,13264,99.8419269853218,304534.4,93.6152483261276,13285,325304.269812
Mozambique,MOZ,2006,YR2006,3.25,1.80505326465004,12.8901414871216,38.5325355529785,21.4498930754132,14717,99.8642871683518,310558.4,93.287714850153,14737,332903.856096
Mozambique,MOZ,2007,YR2007,3.25,2.13265726415412,13.950177192688,41.0521659851074,20.8248729207305,16063,99.9191341129634,318725.9,92.1441726944983,16076,345899.139012
Mozambique,MOZ,2008,YR2008,3.3,2.15221459762944,13.5712238463743,38.8888888888889,19.8629254101754,15114,99.9140609506181,329671.4,92.4348575394548,15127,356652.683604
Mozambique,MOZ,2009,YR2009,3.28000000000001,3.8,15,43.1,19.3663654333804,16950,99.9233626127454,336827.2,91.6660528149684,16963,367450.3152
Mozambique,MOZ,2010,YR2010,3.4,3.16715426933746,17.2579231262207,48.6873245239258,18.7593554103303,16647,99.8859954398176,346626.1,91.3046042575161,16666,379637.0433
Mozambique,MOZ,2011,YR2011,3.46,5.4,20.2,54.5,18.2170498054318,16810,99.8811645870469,356871.7,90.4577194790164,16830,394517.684124
Mozambique,MOZ,2012,YR2012,3.48000000000001,3.83911469774439,19.54319190979,53.8250389099121,17.3116340415331,15145,99.8615323750495,356769.1,90.8214700507327,15166,392824.62594
Mozambique,MOZ,2013,YR2013,3.56,4.15424300773708,20.7008457183838,56.4028244018555,16.734988560264,14546,97.6569318563276,366058.1,90.3160710747055,14895,405307.821348
Mozambique,MOZ,2014,YR2014,3.56,4.44935563714144,21.8645076751709,58.9841842651367,16.5823007350337,16175,91.1575743913436,381518.8,88.8570478335913,17744,429362.452728
Mozambique,MOZ,2015,YR2015,3.62,5,24,68,17.3105745223817,17207,86.4108873600161,376700.5,86.4005089176123,19913,435993.380964
Mozambique,MOZ,2016,YR2016,3.69,4.95497106197218,24.1983394622803,64.150764465332,..,..,..,..,..,..,..
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: Sustainable Energy for All,,,,,,,,,,,,,,
Last Updated: 06/30/2018,,,,,,,,,,,,,,
